# Time, Mass, X position, Y position
220,1000000000, -1440.74600182,-779.759943526
230,1000000000, 240.68573671,-476.838254644
230,1000000000, -1140.18136886,685.287620437
230,1000000000, -397.415594268,-699.513085001
230,1000000000, -76.8253853128,1370.75274038
230,2000000000, 198.687661948,10.9585663648
230,1000000000, -682.235025903,-341.510702234
230,1000000000, -591.936571545,0.605243459555
230,1000000000, 163.683589461,353.209233518
230,1000000000, -1460.80906217,-812.289628643
240,1000000000, 255.415787168,-503.009034979
240,1000000000, -1187.13273657,715.841891331
240,1000000000, -420.256365512,-726.233006493
240,1000000000, -78.2785395057,1430.62058919
240,2000000000, 202.997775618,6.5403669456
240,1000000000, -708.838865495,-353.515541605
240,1000000000, -616.258971682,10.2178147844
240,1000000000, 172.997734596,360.908452876
240,1000000000, -1480.87209824,-844.819298995
250,1000000000, 270.145802701,-529.179753136
250,1000000000, -1234.08408371,746.396144204
250,1000000000, -443.097140934,-752.952871248
250,1000000000, -79.7316964904,1490.48841598
250,2000000000, 207.307861637,2.12219031237
250,1000000000, -735.44265923,-365.520349607
250,1000000000, -640.581354146,19.8303351566
250,1000000000, 182.311869368,368.607552831
250,1000000000, -1500.93511084,-877.348954805
260,1000000000, 284.875785572,-555.350414035
260,1000000000, -1281.03541173,776.950380296
260,1000000000, -465.9379206,-779.672683289
260,1000000000, -81.1848561248,1550.35622252
260,2000000000, 211.617922882,-2.29596420823
260,1000000000, -762.046411315,-377.525131004
260,1000000000, -664.903719667,29.4428093153
260,1000000000, 191.625992865,376.306540911
260,1000000000, -1520.99810076,-909.878596298
270,1000000000, 299.605737849,-581.521022068
270,1000000000, -1327.98672195,807.50460073
270,1000000000, -488.778704569,-806.392446219
270,1000000000, -82.6380182736,1610.22401037
270,2000000000, 215.927961855,-6.71409733462
270,1000000000, -788.650125399,-389.529889805
270,1000000000, -689.226068999,39.0552413316
270,1000000000, 200.940104396,384.005424021
270,1000000000, -1541.06106876,-942.408223697
280,1000000000, 314.335661427,-607.691581165
280,1000000000, -1374.93801555,838.058806523
280,1000000000, -511.619492899,-833.112163288
280,1000000000, -84.0911828091,1670.09178093
280,2000000000, 220.237980736,-11.1322098095
280,1000000000, -815.253804669,-401.5346294
280,1000000000, -713.548402892,48.6676347324
280,1000000000, 210.254203453,391.704208508
280,1000000000, -1561.12401553,-974.937837224
290,1000000000, 329.065558038,-633.862094856
290,1000000000, -1421.88929357,868.612998596
290,1000000000, -534.460285641,-859.831837432
290,1000000000, -85.5443496108,1729.95953544
290,2000000000, 224.547981437,-15.5503023844
290,1000000000, -841.857451928,-413.539352676
290,1000000000, -737.870722082,58.2799925966
290,1000000000, 219.568289677,399.402900206
290,1000000000, -1581.18694175,-1007.4674371
300,1000000000, 343.795429275,-660.032566316
300,1000000000, -1468.840557,899.167177791
300,1000000000, -557.301082844,-886.551471321
300,1000000000, -86.9975185652,1789.82727499
300,2000000000, 228.857965639,-19.9683758082
300,1000000000, -868.461069649,-425.544062103
300,1000000000, -762.193027278,67.8923176302
300,1000000000, 228.882362832,407.10150449
300,1000000000, -1601.24984805,-1039.99702355
310,1000000000, 358.525276597,-686.202998412
310,1000000000, -1515.79180669,929.721344877
310,1000000000, -580.141884555,-913.271067389
310,1000000000, -88.4506895663,1849.6950006
310,2000000000, 233.167934824,-24.3864308186
310,1000000000, -895.06466003,-437.548759802
310,1000000000, -786.515319159,77.5046122266
310,1000000000, 238.196422781,414.800026314
310,1000000000, -1621.31273503,-1072.52659677
320,1000000000, 373.255101348,-712.373393738
320,1000000000, -1562.74304345,960.275500555
320,1000000000, -602.982690818,-939.99062786
320,1000000000, -89.9038625142,1909.56271316
