# Info, Time [s]
Iteration 3540, 0.00015
Iteration 3550, 0.000149
Iteration 3560, 0.000146
Iteration 3570, 0.000143
Iteration 3580, 0.000139
Iteration 3590, 0.00014
Iteration 3600, 0.000139
Iteration 3610, 0.000136
Iteration 3620, 0.000137
Iteration 3630, 0.000136
Iteration 3640, 0.000136
Iteration 3650, 0.000136
Iteration 3660, 0.000136
Iteration 3670, 0.000136
Iteration 3680, 0.000136
Iteration 3690, 0.000133
Iteration 3700, 0.000129
Iteration 3710, 0.00013
Iteration 3720, 0.000129
Iteration 3730, 0.000123
Iteration 3740, 0.000123
Iteration 3750, 0.000123
Iteration 3760, 0.000123
Iteration 3770, 0.00012
Iteration 3780, 0.00012
Iteration 3790, 0.00012
Iteration 3800, 0.00012
Iteration 3810, 0.00012
Iteration 3820, 0.000117
Iteration 3830, 0.000114
Iteration 3840, 0.000114
Iteration 3850, 0.000114
Iteration 3860, 0.000114
Iteration 3870, 0.000113
Iteration 3880, 0.000114
Iteration 3890, 0.000113
Iteration 3900, 0.000113
Iteration 3910, 0.000114
Iteration 3920, 0.000111
Iteration 3930, 0.000111
Iteration 3940, 0.000111
Iteration 3950, 0.000111
Iteration 3960, 0.000111
Iteration 3970, 0.000111
Iteration 3980, 0.00011
Iteration 3990, 0.000111
Iteration 4000, 0.000111
Iteration 4010, 0.00011
Iteration 4020, 0.000111
Iteration 4030, 0.00011
Iteration 4040, 0.000107
Iteration 4050, 0.000107
Iteration 4060, 0.000108
Iteration 4070, 0.000108
Iteration 4080, 0.000108
Iteration 4090, 0.000105
Iteration 4100, 9.9e-05
Iteration 4110, 9.9e-05
Iteration 4120, 9.7e-05
Iteration 4130, 9.7e-05
Iteration 4140, 0.000102
Iteration 4150, 9.6e-05
Iteration 4160, 9.6e-05
Iteration 4170, 8.8e-05
Iteration 4180, 8.8e-05
Iteration 4190, 8.6e-05
Iteration 4200, 8.5e-05
Iteration 4210, 8.5e-05
Iteration 4220, 8.5e-05
Iteration 4230, 8.6e-05
Iteration 4240, 8.6e-05
Iteration 4250, 8.6e-05
Iteration 4260, 8.5e-05
Iteration 4270, 8.5e-05
Iteration 4280, 8.5e-05
