# Info, Time [s]
Iteration 3130, 0.020811
Iteration 3140, 0.020313
Iteration 3150, 0.020865
Iteration 3160, 0.021627
Iteration 3170, 0.020804
Iteration 3180, 0.020349
Iteration 3190, 0.020142
Iteration 3200, 0.020315
Iteration 3210, 0.019798
Iteration 3220, 0.019569
Iteration 3230, 0.020354
Iteration 3240, 0.020211
Iteration 3250, 0.020311
Iteration 3260, 0.019431
Iteration 3270, 0.019729
Iteration 3280, 0.019559
Iteration 3290, 0.019903
Iteration 3300, 0.020975
Iteration 3310, 0.020478
Iteration 3320, 0.02036
Iteration 3330, 0.020388
Iteration 3340, 0.020411
Iteration 3350, 0.020465
Iteration 3360, 0.020483
Iteration 3370, 0.020192
Iteration 3380, 0.021148
Iteration 3390, 0.020172
Iteration 3400, 0.019546
Iteration 3410, 0.019933
Iteration 3420, 0.019934
Iteration 3430, 0.020286
Iteration 3440, 0.020723
Iteration 3450, 0.021239
Iteration 3460, 0.02024
Iteration 3470, 0.020106
Iteration 3480, 0.019697
Iteration 3490, 0.020407
Iteration 3500, 0.020284
Iteration 3510, 0.02074
Iteration 3520, 0.020196
Iteration 3530, 0.020554
Iteration 3540, 0.019854
Iteration 3550, 0.020061
Iteration 3560, 0.019683
Iteration 3570, 0.020302
Iteration 3580, 0.020308
Iteration 3590, 0.019559
Iteration 3600, 0.020319
Iteration 3610, 0.019965
Iteration 3620, 0.020113
Iteration 3630, 0.019974
Iteration 3640, 0.020239
Iteration 3650, 0.019947
Iteration 3660, 0.02027
Iteration 3670, 0.020412
Iteration 3680, 0.020289
Iteration 3690, 0.019709
Iteration 3700, 0.019689
Iteration 3710, 0.01978
Iteration 3720, 0.01982
Iteration 3730, 0.020519
Iteration 3740, 0.020417
Iteration 3750, 0.020437
Iteration 3760, 0.020525
Iteration 3770, 0.020631
Iteration 3780, 0.020466
Iteration 3790, 0.020471
Iteration 3800, 0.020926
Iteration 3810, 0.02134
Iteration 3820, 0.020151
Iteration 3830, 0.020422
Iteration 3840, 0.021219
Iteration 3850, 0.020071
Iteration 3860, 0.020538
Iteration 3870, 0.020258
Iteration 3880, 0.020079
Iteration 3890, 0.020361
Iteration 3900, 0.020329
Iteration 3910, 0.019547
Iteration 3920, 0.020113
Iteration 3930, 0.01983
Iteration 3940, 0.020667
Iteration 3950, 0.020841
Iteration 3960, 0.020242
Iteration 3970, 0.020424
Iteration 3980, 0.020558
Iteration 3990, 0.020492
Iteration 4000, 0.020204
Iteration 4010, 0.020447
Iteration 4020, 0.020345
Iteration 4030, 0.020577
Iteration 4040, 0.020271
Iteration 4050, 0.020454
Iteration 4060, 0.020513
Iteration 4070, 0.020407
Iteration 4080, 0.020017
Iteration 4090, 0.020453
